Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
NÖW;32286;Raiffeisenkasse Heiligeneich eGen;Raiffeisenplatz 1;3452;Atzenbrugg;78889p;;(48.3006298, 15.8938822);48.3006298;15.8938822
NÖW;32300;RAIFFEISEN-HOLDING NIEDERÖSTERREICH-WIEN registrierte Genossenschaft mit beschränkter Haftung;Friedrich-Wilhelm-Raiffeisen-Platz 1;1020;Wien;95970h;;(48.2145771, 16.3760679);48.2145771;16.3760679
NÖW;32322;Raiffeisenbank Hollabrunn eGen;Raiffeisenplatz 1;2020;Hollabrunn;57796w;;(48.56526, 16.0799974);48.56526;16.0799974
NÖW;32367;Raiffeisenbank Klosterneuburg eGen;Rathausplatz 7;3400;Klosterneuburg;98295b;;(48.3054892, 16.3243514);48.3054892;16.3243514
NÖW;32395;Raiffeisenbank Korneuburg eGen;Stockerauer Straße 94;2100;Korneuburg;55220g;;(48.3738038, 16.3137991);48.3738038;16.3137991
NÖW;32397;Raiffeisenbank Krems eGen;Dreifaltigkeitsplatz 8;3500;Krems/Donau;35708m;;(48.4105642, 15.6008057);48.4105642;15.6008057
NÖW;32413;Raiffeisenbank Laa/Thaya eGen;Stadtplatz 56;2136;Laa/Thaya;55870m;;(48.7220542, 16.3847015);48.7220542;16.3847015
NÖW;32415;Raiffeisenbank Oberes Waldviertel eGen;Hauptplatz 22;3943;Schrems;44605x;;(48.7926585, 15.0718881);48.7926585;15.0718881
NÖW;32426;Raiffeisenbank Langenlois eGen;Kornplatz 9;3550;Langenlois;47224y;;(48.4735719, 15.6774994);48.4735719;15.6774994
NÖW;32438;Raiffeisenbank Kreuzenstein eGen;Stockerauer Straße 8-10;2100;Korneuburg;53300h;;(48.3772609, 16.3218755);48.3772609;16.3218755
NÖW;32447;Raiffeisenbank Traisen-Gölsental eGen;Babenbergerstraße 5;3180;Lilienfeld;75316i;;(48.0151153, 15.5955874);48.0151153;15.5955874
NÖW ;32477;Raiffeisenbank Region Schallaburg eGen;Linzer Straße 6;3382;Loosdorf;77781i;;(48.2011966, 15.399002);48.2011966;15.399002
NÖW;32501;Raiffeisenbank im Weinviertel eGen;Hauptplatz 37;2130;Mistelbach/Zaya;54744g;;(48.383062, 16.51794);48.383062;16.51794
NÖW;32551;Raiffeisenkasse Neusiedl a.d.Zaya eGen;Hauptplatz 3;2183;Neusiedl/Zaya;54101k;;(48.6018945, 16.7875391);48.6018945;16.7875391
NÖW;32585;Raiffeisenbank Region St. Pölten eGen;Europaplatz 7;3100;St.Pölten;74508x;;(48.201687, 15.6205591);48.201687;15.6205591
NÖW;32589;Raiffeisenbank Gross Gerungs eGen;Hauptplatz 47;3920;Groß Gerungs;45757s;;(48.5738605, 14.9570584);48.5738605;14.9570584
NÖW;32614;Raiffeisenkasse Orth a.d. Donau eGen;Am Markt 21;2304;Orth/Donau;95604w;;(48.1464987, 16.7032167);48.1464987;16.7032167
NÖW;32647;Raiffeisenbank Pittental/Bucklige Welt eGen;Raiffeisen-Promenade 201;2823;Pitten;109804b;;(47.7157754, 16.1840406);47.7157754;16.1840406
NÖW;32660;Raiffeisenkasse Pottschach registrierte Genossenschaft mit beschränkter Haftung;Pottschacher Straße 8;2630;Ternitz;109950t;;(47.6997499, 16.0068553);47.6997499;16.0068553
NÖW;32663;Raiffeisenkasse Poysdorf eGen;Oberer Markt 1;2170;Poysdorf;54528p;;(48.6683946, 16.629288);48.6683946;16.629288
NÖW;32667;Raiffeisenbank Wienerwald eGen;Hauptstraße 62;3021;Pressbaum;99135m;;(48.1784607, 16.0761195);48.1784607;16.0761195
NÖW;32715;Raiffeisenkasse Retz-Pulkautal registrierte Genossenschaft mit beschränkter Haftung;Hauptplatz 30;2070;Retz;55954k;;(48.757497, 15.950493);48.757497;15.950493
NÖW;32823;Raiffeisenbank Region Schwechat eGen;Bruck-Hainburger Straße 5;2320;Schwechat;94171m;;(48.1409306, 16.4789943);48.1409306;16.4789943
NÖW;32842;Raiffeisenbank Stockerau eGen;Rathausplatz 2;2000;Stockerau;51847x;;(48.3848633, 16.2069761);48.3848633;16.2069761
